Nazwa,Zwierzeta_lowne,Rok,Ilosc(t),Wartosc(tys.zl)
WARMIŃSKO-MAZURSKIE,dziki,2018,693,1834
WARMIŃSKO-MAZURSKIE,dziki,2019,327,1027
WARMIŃSKO-MAZURSKIE,dziki,2020,194,407
WARMIŃSKO-MAZURSKIE,dziki,2021,99,316
WIELKOPOLSKIE,ogółem,2009,792,4729
WIELKOPOLSKIE,ogółem,2010,934,6245
WIELKOPOLSKIE,ogółem,2011,1028,8518
WIELKOPOLSKIE,ogółem,2012,1325,10252
WIELKOPOLSKIE,ogółem,2013,1440,9755
WIELKOPOLSKIE,ogółem,2014,1370,9794
WIELKOPOLSKIE,ogółem,2015,1760,13490
WIELKOPOLSKIE,ogółem,2016,2015,17376
WIELKOPOLSKIE,ogółem,2017,1802,13801
WIELKOPOLSKIE,ogółem,2018,1567,11658
WIELKOPOLSKIE,ogółem,2019,2331,16806
WIELKOPOLSKIE,ogółem,2020,1833,9530
WIELKOPOLSKIE,ogółem,2021,1476,10873
WIELKOPOLSKIE,jelenie,2009,314,1952
WIELKOPOLSKIE,jelenie,2010,317,2309
WIELKOPOLSKIE,jelenie,2011,367,3273
WIELKOPOLSKIE,jelenie,2012,467,3633
WIELKOPOLSKIE,jelenie,2013,608,3958
WIELKOPOLSKIE,jelenie,2014,551,3817
WIELKOPOLSKIE,jelenie,2015,593,4627
WIELKOPOLSKIE,jelenie,2016,351,3277
WIELKOPOLSKIE,jelenie,2017,667,5947
WIELKOPOLSKIE,jelenie,2018,672,5991
WIELKOPOLSKIE,jelenie,2019,906,7774
WIELKOPOLSKIE,jelenie,2020,804,4547
WIELKOPOLSKIE,jelenie,2021,727,5050
WIELKOPOLSKIE,sarny,2009,211,2036
WIELKOPOLSKIE,sarny,2010,183,1985
WIELKOPOLSKIE,sarny,2011,207,2749
WIELKOPOLSKIE,sarny,2012,298,4013
WIELKOPOLSKIE,sarny,2013,365,4536
WIELKOPOLSKIE,sarny,2014,326,4095
WIELKOPOLSKIE,sarny,2015,333,4841
WIELKOPOLSKIE,sarny,2016,373,5909
WIELKOPOLSKIE,sarny,2017,334,4457
WIELKOPOLSKIE,sarny,2018,311,3865
WIELKOPOLSKIE,sarny,2019,355,4710
WIELKOPOLSKIE,sarny,2020,311,2918
WIELKOPOLSKIE,sarny,2021,309,4115
WIELKOPOLSKIE,dziki,2009,259,703
WIELKOPOLSKIE,dziki,2010,419,1766
WIELKOPOLSKIE,dziki,2011,449,2467
WIELKOPOLSKIE,dziki,2012,552,2524
WIELKOPOLSKIE,dziki,2013,461,1236
WIELKOPOLSKIE,dziki,2014,481,1740
WIELKOPOLSKIE,dziki,2015,795,3706
WIELKOPOLSKIE,dziki,2016,753,3800
WIELKOPOLSKIE,dziki,2017,768,3016
WIELKOPOLSKIE,dziki,2018,548,1461
WIELKOPOLSKIE,dziki,2019,1012,3822
WIELKOPOLSKIE,dziki,2020,682,1854
WIELKOPOLSKIE,dziki,2021,403,1471
ZACHODNIOPOMORSKIE,ogółem,2009,1413,7659
ZACHODNIOPOMORSKIE,ogółem,2010,1869,11780
ZACHODNIOPOMORSKIE,ogółem,2011,1983,15730
ZACHODNIOPOMORSKIE,ogółem,2012,2061,14385
ZACHODNIOPOMORSKIE,ogółem,2013,1917,11457
ZACHODNIOPOMORSKIE,ogółem,2014,2303,15058
ZACHODNIOPOMORSKIE,ogółem,2015,2930,19884
ZACHODNIOPOMORSKIE,ogółem,2016,2866,21891
ZACHODNIOPOMORSKIE,ogółem,2017,2210,18253
ZACHODNIOPOMORSKIE,ogółem,2018,2780,17440
ZACHODNIOPOMORSKIE,ogółem,2019,3357,20378
ZACHODNIOPOMORSKIE,ogółem,2020,3817,15394
ZACHODNIOPOMORSKIE,ogółem,2021,3110,17566
ZACHODNIOPOMORSKIE,jelenie,2009,562,3551
ZACHODNIOPOMORSKIE,jelenie,2010,657,4753
ZACHODNIOPOMORSKIE,jelenie,2011,781,7024
ZACHODNIOPOMORSKIE,jelenie,2012,753,6013
ZACHODNIOPOMORSKIE,jelenie,2013,935,6019
ZACHODNIOPOMORSKIE,jelenie,2014,1066,7421
ZACHODNIOPOMORSKIE,jelenie,2015,1141,8785
ZACHODNIOPOMORSKIE,jelenie,2016,1227,10592
ZACHODNIOPOMORSKIE,jelenie,2017,1303,11929
ZACHODNIOPOMORSKIE,jelenie,2018,1262,10881
ZACHODNIOPOMORSKIE,jelenie,2019,1384,10840
ZACHODNIOPOMORSKIE,jelenie,2020,1466,7712
ZACHODNIOPOMORSKIE,jelenie,2021,1511,9236
ZACHODNIOPOMORSKIE,sarny,2009,251,2397
ZACHODNIOPOMORSKIE,sarny,2010,243,2663
ZACHODNIOPOMORSKIE,sarny,2011,255,3453
ZACHODNIOPOMORSKIE,sarny,2012,249,3362
ZACHODNIOPOMORSKIE,sarny,2013,293,3565
ZACHODNIOPOMORSKIE,sarny,2014,301,4096
ZACHODNIOPOMORSKIE,sarny,2015,304,4321
ZACHODNIOPOMORSKIE,sarny,2016,307,4829
ZACHODNIOPOMORSKIE,sarny,2017,287,3852
ZACHODNIOPOMORSKIE,sarny,2018,281,3372
ZACHODNIOPOMORSKIE,sarny,2019,293,3709
ZACHODNIOPOMORSKIE,sarny,2020,283,2613
ZACHODNIOPOMORSKIE,sarny,2021,301,3613
ZACHODNIOPOMORSKIE,dziki,2009,597,1690
ZACHODNIOPOMORSKIE,dziki,2010,970,4364
ZACHODNIOPOMORSKIE,dziki,2011,950,5252
ZACHODNIOPOMORSKIE,dziki,2012,1058,4984
ZACHODNIOPOMORSKIE,dziki,2013,689,1872
ZACHODNIOPOMORSKIE,dziki,2014,932,3513
ZACHODNIOPOMORSKIE,dziki,2015,1471,6678
ZACHODNIOPOMORSKIE,dziki,2016,1317,6347
ZACHODNIOPOMORSKIE,dziki,2017,602,2314
ZACHODNIOPOMORSKIE,dziki,2018,1216,2930
ZACHODNIOPOMORSKIE,dziki,2019,1655,5537
ZACHODNIOPOMORSKIE,dziki,2020,2041,4861
ZACHODNIOPOMORSKIE,dziki,2021,1274,4461
